geopath,households,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,2143,state=48|county=157|tract=672002,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6721,152,state=48|county=157|tract=672100,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6722,388,state=48|county=157|tract=672200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,1077,state=48|county=157|tract=672301,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,547,state=48|county=157|tract=672302,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6724,600,state=48|county=157|tract=672400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6725,291,state=48|county=157|tract=672500,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,871,state=48|county=157|tract=672601,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,189,state=48|county=157|tract=672602,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,748,state=48|county=157|tract=672701,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,589,state=48|county=157|tract=672702,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6728,846,state=48|county=157|tract=672800,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6729,1793,state=48|county=157|tract=672900,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,310,state=48|county=157|tract=673001,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,1053,state=48|county=157|tract=673002,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,334,state=48|county=157|tract=673003,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,2048,state=48|county=157|tract=673101,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,862,state=48|county=157|tract=673102,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6732,185,state=48|county=157|tract=673200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6733,120,state=48|county=157|tract=673300,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6734,208,state=48|county=157|tract=673400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6735,445,state=48|county=157|tract=673500,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6736,185,state=48|county=157|tract=673600,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6737,4,state=48|county=157|tract=673700,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6738,659,state=48|county=157|tract=673800,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,208,state=48|county=157|tract=673901,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,632,state=48|county=157|tract=673902,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6740,1081,state=48|county=157|tract=674000,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6741,485,state=48|county=157|tract=674100,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6742,94,state=48|county=157|tract=674200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6743,346,state=48|county=157|tract=674300,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6744,127,state=48|county=157|tract=674400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,522,state=48|county=157|tract=674501,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,270,state=48|county=157|tract=674502,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6746.01,166,state=48|county=157|tract=674601,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,97,state=48|county=157|tract=674602,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,301,state=48|county=157|tract=674603,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,192,state=48|county=157|tract=674604,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6747,1090,state=48|county=157|tract=674700,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6748,1478,state=48|county=157|tract=674800,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6749,787,state=48|county=157|tract=674900,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6750,465,state=48|county=157|tract=675000,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6751,1609,state=48|county=157|tract=675100,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6752,989,state=48|county=157|tract=675200,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6753,866,state=48|county=157|tract=675300,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6754,477,state=48|county=157|tract=675400,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6755,669,state=48|county=157|tract=675500,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6756,131,state=48|county=157|tract=675600,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6757,630,state=48|county=157|tract=675700,Renter,2015
state=Texas|county=Fort Bend County|tract=Census Tract 6758,319,state=48|county=157|tract=675800,Renter,2015
