geopath,geography,mortgage,aggcost,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6704,state=48|county=157|tract=670400,Primary|Secondary|Tertiary,781100,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6707,state=48|county=157|tract=670700,Primary|Secondary|Tertiary,2811200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6719,state=48|county=157|tract=671900,Primary|Secondary|Tertiary,1117900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6749,state=48|county=157|tract=674900,Primary|Secondary|Tertiary,455600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6752,state=48|county=157|tract=675200,Primary|Secondary|Tertiary,452300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6702,state=48|county=157|tract=670200,Primary|Secondary|Tertiary,1092000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6718,state=48|county=157|tract=671800,Primary|Secondary|Tertiary,475000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6721,state=48|county=157|tract=672100,Primary|Secondary|Tertiary,1812300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6724,state=48|county=157|tract=672400,Primary|Secondary|Tertiary,2143800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6725,state=48|county=157|tract=672500,Primary|Secondary|Tertiary,2312900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6732,state=48|county=157|tract=673200,Primary|Secondary|Tertiary,9000900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6733,state=48|county=157|tract=673300,Primary|Secondary|Tertiary,4475100,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6748,state=48|county=157|tract=674800,Primary|Secondary|Tertiary,494900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6753,state=48|county=157|tract=675300,Primary|Secondary|Tertiary,466900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6703,state=48|county=157|tract=670300,Primary|Secondary|Tertiary,533600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6758,state=48|county=157|tract=675800,Primary|Secondary|Tertiary,475300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,state=48|county=157|tract=670901,Primary|Secondary|Tertiary,5499000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,state=48|county=157|tract=671002,Primary|Secondary|Tertiary,1531900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,state=48|county=157|tract=670602,Primary|Secondary|Tertiary,208200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,state=48|county=157|tract=670101,Primary|Secondary|Tertiary,832000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,state=48|county=157|tract=670102,Primary|Secondary|Tertiary,475600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,state=48|county=157|tract=673101,Primary|Secondary|Tertiary,34822900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,state=48|county=157|tract=673003,Primary|Secondary|Tertiary,6397400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,state=48|county=157|tract=673001,Primary|Secondary|Tertiary,4163600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,state=48|county=157|tract=673102,Primary|Secondary|Tertiary,7594100,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,state=48|county=157|tract=674603,Primary|Secondary|Tertiary,1856900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,state=48|county=157|tract=670601,Primary|Secondary|Tertiary,2713600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,state=48|county=157|tract=674501,Primary|Secondary|Tertiary,6457700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,state=48|county=157|tract=674604,Primary|Secondary|Tertiary,2325300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,state=48|county=157|tract=673002,Primary|Secondary|Tertiary,3337900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,state=48|county=157|tract=672701,Primary|Secondary|Tertiary,3562100,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,state=48|county=157|tract=672601,Primary|Secondary|Tertiary,1695900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,state=48|county=157|tract=672602,Primary|Secondary|Tertiary,1903400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,state=48|county=157|tract=673901,Primary|Secondary|Tertiary,4038700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,state=48|county=157|tract=672301,Primary|Secondary|Tertiary,1496700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,state=48|county=157|tract=672702,Primary|Secondary|Tertiary,1931700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,state=48|county=157|tract=672302,Primary|Secondary|Tertiary,2303300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,state=48|county=157|tract=671001,Primary|Secondary|Tertiary,1897500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,state=48|county=157|tract=673902,Equity,1024100,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,state=48|county=157|tract=672002,Equity,115500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,state=48|county=157|tract=672001,Equity,396500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,state=48|county=157|tract=671501,Equity,582400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,state=48|county=157|tract=671601,Equity,513200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,state=48|county=157|tract=671602,Equity,367000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,state=48|county=157|tract=671502,Equity,86200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,state=48|county=157|tract=670902,Equity,209900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,state=48|county=157|tract=674602,Equity,563700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,state=48|county=157|tract=674502,Equity,1282500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6705,state=48|county=157|tract=670500,Equity,172700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6708,state=48|county=157|tract=670800,Equity,446300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6740,state=48|county=157|tract=674000,Equity,801400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6755,state=48|county=157|tract=675500,Equity,1031900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6742,state=48|county=157|tract=674200,Equity,1314100,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6744,state=48|county=157|tract=674400,Equity,1851000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6728,state=48|county=157|tract=672800,Equity,287500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6717,state=48|county=157|tract=671700,Equity,895300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6743,state=48|county=157|tract=674300,Equity,789500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6747,state=48|county=157|tract=674700,Equity,1041800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6711,state=48|county=157|tract=671100,Equity,405300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6714,state=48|county=157|tract=671400,Equity,224000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6722,state=48|county=157|tract=672200,Equity,321000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6751,state=48|county=157|tract=675100,Equity,354500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6735,state=48|county=157|tract=673500,Equity,613600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6738,state=48|county=157|tract=673800,Equity,505400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6741,state=48|county=157|tract=674100,Equity,904700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.01,state=48|county=157|tract=674601,Equity,420400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6754,state=48|county=157|tract=675400,Equity,384200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6712,state=48|county=157|tract=671200,Equity,191300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6713,state=48|county=157|tract=671300,Equity,98600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6729,state=48|county=157|tract=672900,Equity,1623700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6734,state=48|county=157|tract=673400,Equity,1490200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6736,state=48|county=157|tract=673600,Equity,528600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6737,state=48|county=157|tract=673700,Equity,-666666666,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6750,state=48|county=157|tract=675000,Equity,97500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6756,state=48|county=157|tract=675600,Equity,435800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6757,state=48|county=157|tract=675700,Equity,445400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6704,state=48|county=157|tract=670400,Equity,252300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6707,state=48|county=157|tract=670700,Equity,224400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6719,state=48|county=157|tract=671900,Equity,308900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6749,state=48|county=157|tract=674900,Equity,252000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6752,state=48|county=157|tract=675200,Equity,284400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6702,state=48|county=157|tract=670200,Equity,286900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6718,state=48|county=157|tract=671800,Equity,160400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6721,state=48|county=157|tract=672100,Equity,963500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6724,state=48|county=157|tract=672400,Equity,385800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6725,state=48|county=157|tract=672500,Equity,257800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6732,state=48|county=157|tract=673200,Equity,1192400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6733,state=48|county=157|tract=673300,Equity,1021200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6748,state=48|county=157|tract=674800,Equity,183500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6753,state=48|county=157|tract=675300,Equity,285700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6703,state=48|county=157|tract=670300,Equity,184800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6758,state=48|county=157|tract=675800,Equity,209300,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,state=48|county=157|tract=670901,Equity,788000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,state=48|county=157|tract=671002,Equity,369700,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,state=48|county=157|tract=670602,Equity,50500,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,state=48|county=157|tract=670101,Equity,248600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,state=48|county=157|tract=670102,Equity,86400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,state=48|county=157|tract=673101,Equity,3948200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,state=48|county=157|tract=673003,Equity,1101800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,state=48|county=157|tract=673001,Equity,781400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,state=48|county=157|tract=673102,Equity,1875000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,state=48|county=157|tract=674603,Equity,358600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,state=48|county=157|tract=670601,Equity,242800,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,state=48|county=157|tract=674501,Equity,380000,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,state=48|county=157|tract=674604,Equity,149600,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,state=48|county=157|tract=673002,Equity,599900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,state=48|county=157|tract=672701,Equity,822400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,state=48|county=157|tract=672601,Equity,275400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,state=48|county=157|tract=672602,Equity,242400,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,state=48|county=157|tract=673901,Equity,904100,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,state=48|county=157|tract=672301,Equity,354200,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,state=48|county=157|tract=672702,Equity,255900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,state=48|county=157|tract=672302,Equity,805900,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,state=48|county=157|tract=671001,Equity,603600,Owner,2017
