geopath,geography,mortgage,aggincome,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6742,state=48|county=157|tract=674200,Primary|Secondary|Tertiary,226018400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6744,state=48|county=157|tract=674400,Primary|Secondary|Tertiary,690045000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6728,state=48|county=157|tract=672800,Primary|Secondary|Tertiary,148990600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6717,state=48|county=157|tract=671700,Primary|Secondary|Tertiary,140994200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6743,state=48|county=157|tract=674300,Primary|Secondary|Tertiary,279646400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6747,state=48|county=157|tract=674700,Primary|Secondary|Tertiary,281795900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6711,state=48|county=157|tract=671100,Primary|Secondary|Tertiary,108581400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6714,state=48|county=157|tract=671400,Primary|Secondary|Tertiary,63760500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6722,state=48|county=157|tract=672200,Primary|Secondary|Tertiary,79557700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6751,state=48|county=157|tract=675100,Primary|Secondary|Tertiary,111414200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6735,state=48|county=157|tract=673500,Primary|Secondary|Tertiary,275077500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6738,state=48|county=157|tract=673800,Primary|Secondary|Tertiary,173102100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6741,state=48|county=157|tract=674100,Primary|Secondary|Tertiary,170209100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.01,state=48|county=157|tract=674601,Primary|Secondary|Tertiary,148643300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6754,state=48|county=157|tract=675400,Primary|Secondary|Tertiary,86494700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6712,state=48|county=157|tract=671200,Primary|Secondary|Tertiary,90396400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6713,state=48|county=157|tract=671300,Primary|Secondary|Tertiary,28861900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6729,state=48|county=157|tract=672900,Primary|Secondary|Tertiary,1089282800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6734,state=48|county=157|tract=673400,Primary|Secondary|Tertiary,727528000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6736,state=48|county=157|tract=673600,Primary|Secondary|Tertiary,194932300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6737,state=48|county=157|tract=673700,Primary|Secondary|Tertiary,,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6750,state=48|county=157|tract=675000,Primary|Secondary|Tertiary,13835300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6756,state=48|county=157|tract=675600,Primary|Secondary|Tertiary,126477200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6757,state=48|county=157|tract=675700,Primary|Secondary|Tertiary,84875600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6704,state=48|county=157|tract=670400,Primary|Secondary|Tertiary,53372500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6707,state=48|county=157|tract=670700,Primary|Secondary|Tertiary,180503100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6719,state=48|county=157|tract=671900,Primary|Secondary|Tertiary,80379400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6749,state=48|county=157|tract=674900,Primary|Secondary|Tertiary,30582500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6752,state=48|county=157|tract=675200,Primary|Secondary|Tertiary,29227600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6702,state=48|county=157|tract=670200,Primary|Secondary|Tertiary,61397500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6718,state=48|county=157|tract=671800,Primary|Secondary|Tertiary,26356100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6721,state=48|county=157|tract=672100,Primary|Secondary|Tertiary,126873900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6724,state=48|county=157|tract=672400,Primary|Secondary|Tertiary,119446400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6725,state=48|county=157|tract=672500,Primary|Secondary|Tertiary,127056300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6732,state=48|county=157|tract=673200,Primary|Secondary|Tertiary,568454400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6733,state=48|county=157|tract=673300,Primary|Secondary|Tertiary,302720500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6748,state=48|county=157|tract=674800,Primary|Secondary|Tertiary,41493500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6753,state=48|county=157|tract=675300,Primary|Secondary|Tertiary,20962300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6703,state=48|county=157|tract=670300,Primary|Secondary|Tertiary,28965100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6758,state=48|county=157|tract=675800,Primary|Secondary|Tertiary,26983800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,state=48|county=157|tract=670901,Primary|Secondary|Tertiary,354528900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,state=48|county=157|tract=671002,Primary|Secondary|Tertiary,86168300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,state=48|county=157|tract=670602,Primary|Secondary|Tertiary,10667400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,state=48|county=157|tract=670101,Primary|Secondary|Tertiary,46148200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,state=48|county=157|tract=670102,Primary|Secondary|Tertiary,23184900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,state=48|county=157|tract=673101,Primary|Secondary|Tertiary,2404558000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,state=48|county=157|tract=673003,Primary|Secondary|Tertiary,444452900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,state=48|county=157|tract=673001,Primary|Secondary|Tertiary,277487700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,state=48|county=157|tract=673102,Primary|Secondary|Tertiary,517936000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,state=48|county=157|tract=674603,Primary|Secondary|Tertiary,127591500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,state=48|county=157|tract=670601,Primary|Secondary|Tertiary,191237300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,state=48|county=157|tract=674501,Primary|Secondary|Tertiary,399099500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,state=48|county=157|tract=674604,Primary|Secondary|Tertiary,132182300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,state=48|county=157|tract=673002,Primary|Secondary|Tertiary,237346900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,state=48|county=157|tract=672701,Primary|Secondary|Tertiary,226979300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,state=48|county=157|tract=672601,Primary|Secondary|Tertiary,92401700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,state=48|county=157|tract=672602,Primary|Secondary|Tertiary,99125200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,state=48|county=157|tract=673901,Primary|Secondary|Tertiary,305955800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,state=48|county=157|tract=672301,Primary|Secondary|Tertiary,93016300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,state=48|county=157|tract=672702,Primary|Secondary|Tertiary,138982900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,state=48|county=157|tract=672302,Primary|Secondary|Tertiary,214542300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,state=48|county=157|tract=671001,Primary|Secondary|Tertiary,135615900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,state=48|county=157|tract=673902,Equity,136659600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,state=48|county=157|tract=672002,Equity,20897500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,state=48|county=157|tract=672001,Equity,49060600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.01,state=48|county=157|tract=671501,Equity,97633000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.01,state=48|county=157|tract=671601,Equity,67348800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6716.02,state=48|county=157|tract=671602,Equity,72720700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6715.02,state=48|county=157|tract=671502,Equity,12731600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.02,state=48|county=157|tract=670902,Equity,24622800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,state=48|county=157|tract=674602,Equity,106947100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,state=48|county=157|tract=674502,Equity,191514100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6705,state=48|county=157|tract=670500,Equity,19685700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6708,state=48|county=157|tract=670800,Equity,51087700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6740,state=48|county=157|tract=674000,Equity,104667400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6755,state=48|county=157|tract=675500,Equity,159609300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6742,state=48|county=157|tract=674200,Equity,216249700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6744,state=48|county=157|tract=674400,Equity,254144300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6728,state=48|county=157|tract=672800,Equity,50869700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6717,state=48|county=157|tract=671700,Equity,186720100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6743,state=48|county=157|tract=674300,Equity,108843000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6747,state=48|county=157|tract=674700,Equity,95208400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6711,state=48|county=157|tract=671100,Equity,53427800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6714,state=48|county=157|tract=671400,Equity,36059000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6722,state=48|county=157|tract=672200,Equity,50939800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6751,state=48|county=157|tract=675100,Equity,47801800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6735,state=48|county=157|tract=673500,Equity,115179900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6738,state=48|county=157|tract=673800,Equity,96175700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6741,state=48|county=157|tract=674100,Equity,84215300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.01,state=48|county=157|tract=674601,Equity,58222800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6754,state=48|county=157|tract=675400,Equity,44310300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6712,state=48|county=157|tract=671200,Equity,25567600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6713,state=48|county=157|tract=671300,Equity,17695700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6729,state=48|county=157|tract=672900,Equity,206059500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6734,state=48|county=157|tract=673400,Equity,205548000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6736,state=48|county=157|tract=673600,Equity,80745900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6737,state=48|county=157|tract=673700,Equity,,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6750,state=48|county=157|tract=675000,Equity,9842600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6756,state=48|county=157|tract=675600,Equity,68140600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6757,state=48|county=157|tract=675700,Equity,59517700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6704,state=48|county=157|tract=670400,Equity,32502400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6707,state=48|county=157|tract=670700,Equity,28830800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6719,state=48|county=157|tract=671900,Equity,42147600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6749,state=48|county=157|tract=674900,Equity,23130900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6752,state=48|county=157|tract=675200,Equity,46010900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6702,state=48|county=157|tract=670200,Equity,48573700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6718,state=48|county=157|tract=671800,Equity,16418400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6721,state=48|county=157|tract=672100,Equity,180237500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6724,state=48|county=157|tract=672400,Equity,44971500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6725,state=48|county=157|tract=672500,Equity,37282900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6732,state=48|county=157|tract=673200,Equity,117782600.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6733,state=48|county=157|tract=673300,Equity,127984100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6748,state=48|county=157|tract=674800,Equity,23005300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6753,state=48|county=157|tract=675300,Equity,53345000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6703,state=48|county=157|tract=670300,Equity,28297500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6758,state=48|county=157|tract=675800,Equity,28077900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6709.01,state=48|county=157|tract=670901,Equity,131401900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.02,state=48|county=157|tract=671002,Equity,62419900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.02,state=48|county=157|tract=670602,Equity,9714700.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.01,state=48|county=157|tract=670101,Equity,27504800.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6701.02,state=48|county=157|tract=670102,Equity,12286400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,state=48|county=157|tract=673101,Equity,483331500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,state=48|county=157|tract=673003,Equity,201676000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,state=48|county=157|tract=673001,Equity,119747200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,state=48|county=157|tract=673102,Equity,263850000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,state=48|county=157|tract=674603,Equity,35911100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6706.01,state=48|county=157|tract=670601,Equity,29619100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,state=48|county=157|tract=674501,Equity,44671000.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,state=48|county=157|tract=674604,Equity,38506400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,state=48|county=157|tract=673002,Equity,104583500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,state=48|county=157|tract=672701,Equity,72874900.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,state=48|county=157|tract=672601,Equity,32227500.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,state=48|county=157|tract=672602,Equity,45756300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,state=48|county=157|tract=673901,Equity,183042200.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,state=48|county=157|tract=672301,Equity,43005100.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,state=48|county=157|tract=672702,Equity,37463400.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,state=48|county=157|tract=672302,Equity,104575300.0,Owner,2017
state=Texas|county=Fort Bend County|tract=Census Tract 6710.01,state=48|county=157|tract=671001,Equity,100481700.0,Owner,2017
