geopath,households,geography,tenure,date
state=Texas|county=Fort Bend County|tract=Census Tract 6718,523,state=48|county=157|tract=671800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6719,76,state=48|county=157|tract=671900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6720.01,853,state=48|county=157|tract=672001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6720.02,2204,state=48|county=157|tract=672002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6721,170,state=48|county=157|tract=672100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6722,305,state=48|county=157|tract=672200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6723.01,1162,state=48|county=157|tract=672301,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6723.02,426,state=48|county=157|tract=672302,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6724,511,state=48|county=157|tract=672400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6725,292,state=48|county=157|tract=672500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6726.01,888,state=48|county=157|tract=672601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6726.02,252,state=48|county=157|tract=672602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6727.01,682,state=48|county=157|tract=672701,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6727.02,494,state=48|county=157|tract=672702,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6728,861,state=48|county=157|tract=672800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6729,2184,state=48|county=157|tract=672900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.01,409,state=48|county=157|tract=673001,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.02,1185,state=48|county=157|tract=673002,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6730.03,272,state=48|county=157|tract=673003,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6731.01,2713,state=48|county=157|tract=673101,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6731.02,895,state=48|county=157|tract=673102,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6732,167,state=48|county=157|tract=673200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6733,130,state=48|county=157|tract=673300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6734,341,state=48|county=157|tract=673400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6735,544,state=48|county=157|tract=673500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6736,216,state=48|county=157|tract=673600,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6737,5,state=48|county=157|tract=673700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6738,660,state=48|county=157|tract=673800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6739.01,242,state=48|county=157|tract=673901,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6739.02,621,state=48|county=157|tract=673902,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6740,1081,state=48|county=157|tract=674000,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6741,397,state=48|county=157|tract=674100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6742,118,state=48|county=157|tract=674200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6743,325,state=48|county=157|tract=674300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6744,243,state=48|county=157|tract=674400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6745.01,711,state=48|county=157|tract=674501,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6745.02,295,state=48|county=157|tract=674502,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.01,222,state=48|county=157|tract=674601,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.02,110,state=48|county=157|tract=674602,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.03,337,state=48|county=157|tract=674603,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6746.04,107,state=48|county=157|tract=674604,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6747,1258,state=48|county=157|tract=674700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6748,1454,state=48|county=157|tract=674800,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6749,929,state=48|county=157|tract=674900,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6750,479,state=48|county=157|tract=675000,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6751,1509,state=48|county=157|tract=675100,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6752,1044,state=48|county=157|tract=675200,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6753,1002,state=48|county=157|tract=675300,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6754,475,state=48|county=157|tract=675400,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6755,733,state=48|county=157|tract=675500,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6756,152,state=48|county=157|tract=675600,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6757,697,state=48|county=157|tract=675700,Renter,2016
state=Texas|county=Fort Bend County|tract=Census Tract 6758,404,state=48|county=157|tract=675800,Renter,2016
